snapshot	elapsed_hours	participant	doctor_status	peers_status	controlled_members	controlled_messages	healthy	full_controlled_state
20260605T041958Z	30.389	phobos-pi-hermes	255	255	None	None	False	False
20260605T045038Z	30.901	local-vps	0	0	4	78	True	True
20260605T045038Z	30.901	hermes-container	0	0	4	78	True	True
20260605T045038Z	30.901	deimos-openclaw-container	0	0	4	78	True	True
20260605T045038Z	30.901	phobos-pi-hermes	255	255	None	None	False	False
20260605T052113Z	31.410	local-vps	0	0	4	78	True	True
20260605T052113Z	31.410	hermes-container	0	0	4	78	True	True
20260605T052113Z	31.410	deimos-openclaw-container	0	0	4	78	True	True
20260605T052113Z	31.410	phobos-pi-hermes	255	255	None	None	False	False
20260605T055157Z	31.922	local-vps	0	0	4	78	True	True
20260605T055157Z	31.922	hermes-container	0	0	4	78	True	True
20260605T055157Z	31.922	deimos-openclaw-container	0	0	4	78	True	True
20260605T055157Z	31.922	phobos-pi-hermes	255	255	None	None	False	False
20260605T062239Z	32.434	local-vps	0	0	4	78	True	True
20260605T062239Z	32.434	hermes-container	0	0	4	78	True	True
20260605T062239Z	32.434	deimos-openclaw-container	0	0	4	78	True	True
20260605T062239Z	32.434	phobos-pi-hermes	255	255	None	None	False	False
20260605T065318Z	32.945	local-vps	0	0	4	78	True	True
20260605T065318Z	32.945	hermes-container	0	0	4	78	True	True
20260605T065318Z	32.945	deimos-openclaw-container	0	0	4	78	True	True
20260605T065318Z	32.945	phobos-pi-hermes	255	255	None	None	False	False
20260605T072403Z	33.458	local-vps	0	0	4	78	True	True
20260605T072403Z	33.458	hermes-container	0	0	4	78	True	True
20260605T072403Z	33.458	deimos-openclaw-container	0	0	4	78	True	True
20260605T072403Z	33.458	phobos-pi-hermes	255	255	None	None	False	False
20260605T075446Z	33.969	local-vps	0	0	4	78	True	True
20260605T075446Z	33.969	hermes-container	0	0	4	78	True	True
20260605T075446Z	33.969	deimos-openclaw-container	0	0	4	78	True	True
20260605T075446Z	33.969	phobos-pi-hermes	255	255	None	None	False	False
20260605T082528Z	34.481	local-vps	0	0	4	78	True	True
20260605T082528Z	34.481	hermes-container	0	0	4	78	True	True
20260605T082528Z	34.481	deimos-openclaw-container	0	0	4	78	True	True
20260605T082528Z	34.481	phobos-pi-hermes	255	255	None	None	False	False
20260605T085559Z	34.990	local-vps	0	0	4	78	True	True
20260605T085559Z	34.990	hermes-container	0	0	4	78	True	True
20260605T085559Z	34.990	deimos-openclaw-container	0	0	4	78	True	True
20260605T085559Z	34.990	phobos-pi-hermes	255	255	None	None	False	False
20260605T092629Z	35.498	local-vps	0	0	4	78	True	True
20260605T092629Z	35.498	hermes-container	0	0	4	78	True	True
20260605T092629Z	35.498	deimos-openclaw-container	0	0	4	78	True	True
20260605T092629Z	35.498	phobos-pi-hermes	255	255	None	None	False	False
20260605T095723Z	36.013	local-vps	0	0	4	78	True	True
20260605T095723Z	36.013	hermes-container	0	0	4	78	True	True
20260605T095723Z	36.013	deimos-openclaw-container	0	0	4	78	True	True
20260605T095723Z	36.013	phobos-pi-hermes	255	255	None	None	False	False
20260605T102751Z	36.521	local-vps	0	0	4	78	True	True
20260605T102751Z	36.521	hermes-container	0	0	4	78	True	True
20260605T102751Z	36.521	deimos-openclaw-container	0	0	4	78	True	True
20260605T102751Z	36.521	phobos-pi-hermes	255	255	None	None	False	False
20260605T105823Z	37.030	local-vps	0	0	4	78	True	True
